,id,published,title,reference,year_month,year,month,clean_text,sentiment,polarity,subjectivity
11,39412256,2024-11-19,Human metapneumovirus SH protein promotes JAK1 degradation to impair host IL-6 signaling.,https://pubmed.ncbi.nlm.nih.gov/39412256,2024-11,2024,11,human metapneumovirus sh protein promotes degradation impair host signaling,neutral,0.0,0.1
12,39550381,2024-11-16,Rational design of uncleaved prefusion-closed trimer vaccines for human respiratory syncytial virus and metapneumovirus.,https://pubmed.ncbi.nlm.nih.gov/39550381,2024-11,2024,11,rational design uncleaved trimer vaccine human respiratory syncytial virus metapneumovirus,neutral,0.0,0.1
13,39599536,2024-11-09,Observational Study on the Clinical Reality of Community-Acquired Respiratory Virus Infections in Adults and Older Individuals.,https://pubmed.ncbi.nlm.nih.gov/39599536,2024-11,2024,11,observational reality respiratory virus infection adult older individual,positive,0.08888888888888889,0.3444444444444444
14,39524165,2024-11-07,"Demographics, Clinical Presentation and Outcome of Metapneumovirus Infection in Adults: A Case Series Analysis at Scarborough General Hospital, United Kingdom.",https://pubmed.ncbi.nlm.nih.gov/39524165,2024-11,2024,11,demographic presentation outcome metapneumovirus infection adult series scarborough general hospital united kingdom,positive,0.07500000000000001,0.4
15,39531249,2024-11-07,Viral Loads of Pneumoviruses: Correlation With Coinfection Rates and Disease Severity.,https://pubmed.ncbi.nlm.nih.gov/39531249,2024-11,2024,11,viral load pneumoviruses correlation coinfection rate disease severity,neutral,0.0,0.0
16,39655129,2024-11-07,Human Metapneumovirus Associated With Acute Hemorrhagic Oedema of Infancy: A Case Report.,https://pubmed.ncbi.nlm.nih.gov/39655129,2024-11,2024,11,human metapneumovirus acute hemorrhagic oedema infancy report,positive,0.3,0.5
17,39154613,2024-11-07,Research note: Indirect evidence of avian Metapneumovirus circulation in broilers in Italy.,https://pubmed.ncbi.nlm.nih.gov/39154613,2024-11,2024,11,research note indirect evidence avian metapneumovirus circulation broiler italy,neutral,0.0,0.0
18,39134468,2024-11-07,Seasonality of common respiratory viruses: Analysis of nationwide time-series data.,https://pubmed.ncbi.nlm.nih.gov/39134468,2024-11,2024,11,seasonality common respiratory virus nationwide data,negative,-0.3,0.5
19,39513651,2024-11-07,Changes in Epidemics of Respiratory Viral Infections Resulted From the COVID-19 Pandemic in Shanghai.,https://pubmed.ncbi.nlm.nih.gov/39513651,2024-11,2024,11,change epidemic respiratory viral infection resulted pandemic shanghai,neutral,0.0,0.0
20,39489292,2024-11-01,Epidemiology of human metapneumovirus among children with severe or very severe pneumonia in high pneumonia burden settings: the Pneumonia Etiology Research for Child Health (PERCH) study experience.,https://pubmed.ncbi.nlm.nih.gov/39489292,2024-11,2024,11,epidemiology human metapneumovirus among child severe severe pneumonia high pneumonia burden setting pneumonia etiology research child health perch experience,positive,0.08,0.32
21,39554078,2024-11-01,A potently neutralizing and protective human antibody targeting antigenic site V on RSV and hMPV fusion glycoprotein.,https://pubmed.ncbi.nlm.nih.gov/39554078,2024-11,2024,11,potently neutralizing protective human antibody targeting antigenic site v rsv hmpv fusion glycoprotein,positive,0.25,0.3
22,39468306,2024-10-28,"The circulating characteristics of common respiratory pathogens in Ningbo, China, both before and following the cessation of COVID-19 containment measures.",https://pubmed.ncbi.nlm.nih.gov/39468306,2024-10,2024,10,circulating characteristic common respiratory pathogen ningbo china following cessation containment measure,negative,-0.12222222222222222,0.35555555555555557
23,39466537,2024-10-28,Seroprevalence of avian metapneumovirus (aMPV) among pullet and layer hens in Northern Thailand.,https://pubmed.ncbi.nlm.nih.gov/39466537,2024-10,2024,10,seroprevalence avian metapneumovirus ampv among pullet layer hen northern thailand,neutral,0.0,0.0
24,39441325,2024-10-23,Epidemiology of human metapneumovirus in Taiwan from 2013 to 2023.,https://pubmed.ncbi.nlm.nih.gov/39441325,2024-10,2024,10,epidemiology human metapneumovirus taiwan,neutral,0.0,0.1
25,39311697,2024-10-22,Genetic absence of PD-L1 does not restore CD8+ T cell function during respiratory virus infection and delays virus clearance.,https://pubmed.ncbi.nlm.nih.gov/39311697,2024-10,2024,10,genetic absence restore cell function respiratory virus infection delay virus clearance,negative,-0.0125,0.0
26,39460364,2024-10-21,Interferon Epsilon-Mediated Antiviral Activity Against Human Metapneumovirus and Respiratory Syncytial Virus.,https://pubmed.ncbi.nlm.nih.gov/39460364,2024-10,2024,10,interferon antiviral activity human metapneumovirus respiratory syncytial virus,neutral,0.0,0.1
27,38349230,2024-10-16,"The Burden of Human Metapneumovirus- and Influenza-Associated Hospitalizations in Adults in New Zealand, 2012-2015.",https://pubmed.ncbi.nlm.nih.gov/38349230,2024-10,2024,10,burden human hospitalization adult new zealand,positive,0.07878787878787878,0.28484848484848485
28,39407374,2024-10-07,"Respiratory viral infections in bone marrow transplant patients: insights from a tertiary care hospital in Rawalpindi, Pakistan.",https://pubmed.ncbi.nlm.nih.gov/39407374,2024-10,2024,10,respiratory viral infection bone marrow transplant insight tertiary care hospital rawalpindi pakistan,neutral,0.0,0.0
29,39493125,2024-10-07,The Distribution of Respiratory Viral Pathogens Among the Symptomatic Respiratory Tract Infection Patients From Dhaka City in the Pre-COVID-19 Pandemic Era.,https://pubmed.ncbi.nlm.nih.gov/39493125,2024-10,2024,10,distribution respiratory viral pathogen among symptomatic respiratory tract infection dhaka city pandemic era,neutral,0.0,0.0
30,39364598,2024-10-07,"Attribution of invasive group A streptococcal infections (iGAS) to predisposing viral infections, the Netherlands, 2010 to 2023.",https://pubmed.ncbi.nlm.nih.gov/39364598,2024-10,2024,10,attribution invasive group streptococcal infection iga predisposing viral infection netherlands,neutral,0.0,0.0
31,39333919,2024-09-27,"Viral etiology of febrile respiratory syndrome among patients in Liaoning Province, China.",https://pubmed.ncbi.nlm.nih.gov/39333919,2024-09,2024,9,viral etiology febrile respiratory syndrome among liaoning province china,neutral,0.0,0.0
32,39334189,2024-09-27,Similarity analyses of causative viruses for chronic obstructive pulmonary disease and asthma exacerbations : Author.,https://pubmed.ncbi.nlm.nih.gov/39334189,2024-09,2024,9,similarity analysis causative virus chronic obstructive pulmonary disease asthma exacerbation author,neutral,0.0,0.0
33,39286955,2024-09-17,Exploring Chemical Space to Identify Partial Binders Against hMPV Nucleocapsid Protein.,https://pubmed.ncbi.nlm.nih.gov/39286955,2024-09,2024,9,exploring chemical space identify partial binder hmpv nucleocapsid protein,negative,-0.1,0.3
34,38969331,2024-09-07,Lobar pneumonia due to human metapneumovirus: a case report.,https://pubmed.ncbi.nlm.nih.gov/38969331,2024-09,2024,9,lobar pneumonia due human metapneumovirus report,negative,-0.0625,0.2375
35,39098246,2024-09-07,SARS-CoV-2 co-detection with other respiratory pathogens-descriptive epidemiological study.,https://pubmed.ncbi.nlm.nih.gov/39098246,2024-09,2024,9,respiratory epidemiological,neutral,0.0,0.0
36,38696270,2024-09-07,Monocyte Production of C1q Potentiates CD8+ T-Cell Function Following Respiratory Viral Infection.,https://pubmed.ncbi.nlm.nih.gov/38696270,2024-09,2024,9,monocyte production potentiates function following respiratory viral infection,neutral,0.0,0.1
37,39038660,2024-09-07,Rapid and one-tube detection of human metapneumovirus using the RT-RPA and CRISPR/Cas12a.,https://pubmed.ncbi.nlm.nih.gov/39038660,2024-09,2024,9,rapid detection human metapneumovirus,neutral,0.0,0.1
38,39225070,2024-09-07,Respiratory Viral Testing Rate Patterns in Young Children Attending Tertiary Care Across Western Australia: A Population-Based Birth Cohort Study.,https://pubmed.ncbi.nlm.nih.gov/39225070,2024-09,2024,9,respiratory viral testing rate pattern young child attending tertiary care across western australia birth cohort,positive,0.05,0.2
39,39223363,2024-09-02,Molecular characterization of avian metapneumovirus subtype C associated with hydrosalpinx fluid and egg drop syndrome in Jinding ducks.,https://pubmed.ncbi.nlm.nih.gov/39223363,2024-09,2024,9,molecular characterization avian metapneumovirus subtype c hydrosalpinx fluid egg drop syndrome jinding duck,neutral,0.0,0.1
40,39204304,2024-08-20,Seasonal Patterns of Common Respiratory Viral Infections in Immunocompetent and Immunosuppressed Patients.,https://pubmed.ncbi.nlm.nih.gov/39204304,2024-08,2024,8,seasonal pattern common respiratory viral infection immunocompetent immunosuppressed,negative,-0.3,0.5
41,39143516,2024-08-14,"Epidemiological changes in respiratory pathogen transmission among children with acute respiratory infections during the COVID-19 pandemic in Kunming, China.",https://pubmed.ncbi.nlm.nih.gov/39143516,2024-08,2024,8,epidemiological change respiratory pathogen transmission among child acute respiratory infection pandemic kunming china,positive,0.6,0.9
42,38945449,2024-08-07,Mechanism and spectrum of inhibition of a 4'-cyano modified nucleotide analog against diverse RNA polymerases of prototypic respiratory RNA viruses.,https://pubmed.ncbi.nlm.nih.gov/38945449,2024-08,2024,8,mechanism spectrum inhibition modified nucleotide analog diverse rna polymerase prototypic respiratory rna virus,neutral,0.0,0.0
43,38820916,2024-08-07,"Analytical and clinical validation of a novel, laboratory-developed, modular multiplex-PCR panel for fully automated high-throughput detection of 16 respiratory viruses.",https://pubmed.ncbi.nlm.nih.gov/38820916,2024-08,2024,8,analytical validation novel modular panel fully automated detection respiratory virus,neutral,0.0,0.0
44,39054318,2024-07-25,Efficacious human metapneumovirus vaccine based on AI-guided engineering of a closed prefusion trimer.,https://pubmed.ncbi.nlm.nih.gov/39054318,2024-07,2024,7,efficacious human metapneumovirus vaccine engineering closed prefusion trimer,negative,-0.05,0.1
45,39035530,2024-07-15,Human metapneumovirus infection is associated with a substantial morbidity and mortality burden in adult inpatients.,https://pubmed.ncbi.nlm.nih.gov/39035530,2024-07,2024,7,human metapneumovirus infection substantial morbidity mortality burden adult inpatient,positive,0.05,0.2
46,38985204,2024-07-10,An affordable detection system based on RT-LAMP and DNA-nanoprobes for avian metapneumovirus.,https://pubmed.ncbi.nlm.nih.gov/38985204,2024-07,2024,7,affordable detection system avian metapneumovirus,neutral,0.0,0.0
47,38462763,2024-07-07,"The burden of RSV, hMPV, and PIV amongst hospitalized adults in the United States from 2016 to 2019.",https://pubmed.ncbi.nlm.nih.gov/38462763,2024-07,2024,7,burden rsv hmpv piv amongst hospitalized adult united state,positive,0.1,0.3
48,38823191,2024-07-07,"Burden of respiratory syncytial virus, human metapneumovirus and influenza virus infections in Japanese adults in the Hospitalized Acute Respiratory Tract Infection study.",https://pubmed.ncbi.nlm.nih.gov/38823191,2024-07,2024,7,burden respiratory syncytial virus human metapneumovirus influenza virus infection japanese adult hospitalized acute respiratory tract infection,positive,0.175,0.325
49,38801487,2024-07-07,"Epidemiological characteristics of human metapneumovirus among children in Nanjing, China.",https://pubmed.ncbi.nlm.nih.gov/38801487,2024-07,2024,7,epidemiological characteristic human metapneumovirus among child nanjing china,negative,-0.03333333333333333,0.2833333333333333
50,39066249,2024-07-06,Probenecid Inhibits Human Metapneumovirus (HMPV) Replication In Vitro and in BALB/c Mice.,https://pubmed.ncbi.nlm.nih.gov/39066249,2024-07,2024,7,probenecid inhibits human metapneumovirus hmpv replication vitro mouse,neutral,0.0,0.1
51,38898106,2024-06-19,Mucosal bivalent live attenuated vaccine protects against human metapneumovirus and respiratory syncytial virus in mice.,https://pubmed.ncbi.nlm.nih.gov/38898106,2024-06,2024,6,mucosal bivalent live attenuated vaccine protects human metapneumovirus respiratory syncytial virus mouse,positive,0.06818181818181818,0.3
52,38690874,2024-06-13,Novel insights into the host cell glycan binding profile of human metapneumovirus.,https://pubmed.ncbi.nlm.nih.gov/38690874,2024-06,2024,6,novel insight host cell glycan binding profile human metapneumovirus,neutral,0.0,0.1
53,38176655,2024-06-07,PD-1 signaling in neonates restrains CD8+ T cell function and protects against respiratory viral immunopathology.,https://pubmed.ncbi.nlm.nih.gov/38176655,2024-06,2024,6,signaling neonate restrains cell function protects respiratory viral immunopathology,neutral,0.0,0.0
54,38492818,2024-06-07,Determinants of radiological patterns and severity in immunocompromised adults with Metapneumovirus infection.,https://pubmed.ncbi.nlm.nih.gov/38492818,2024-06,2024,6,determinant radiological pattern severity immunocompromised adult metapneumovirus infection,positive,0.1,0.3
55,38828947,2024-06-07,"Epidemiological and clinical characteristics of hospitalized human metapneumovirus patients in Israel, 2015-2021: A retrospective cohort study.",https://pubmed.ncbi.nlm.nih.gov/38828947,2024-06,2024,6,epidemiological characteristic hospitalized human metapneumovirus israel retrospective cohort,negative,-0.03333333333333333,0.2833333333333333
56,38955734,2024-06-06,"[Genotype and epidemiological characteristics of human metapneumovirus among hospitalized cases of acute respiratory infection in children in Changchun City, Jilin Province from 2019 to 2023].",https://pubmed.ncbi.nlm.nih.gov/38955734,2024-06,2024,6,genotype epidemiological characteristic human metapneumovirus among hospitalized case acute respiratory infection child changchun city jilin province,positive,0.17777777777777778,0.48888888888888893
57,38738290,2024-06-01,Safety and Immunogenicity of an mRNA-Based hMPV/PIV3 Combination Vaccine in Seropositive Children.,https://pubmed.ncbi.nlm.nih.gov/38738290,2024-06,2024,6,safety immunogenicity combination vaccine seropositive child,neutral,0.0,0.0
58,38641492,2024-05-31,VLPs generated by the fusion of RSV-F or hMPV-F glycoprotein to HIV-Gag show improved immunogenicity and neutralizing response in mice.,https://pubmed.ncbi.nlm.nih.gov/38641492,2024-05,2024,5,vlps generated fusion glycoprotein show improved immunogenicity neutralizing response mouse,neutral,0.0,0.0
59,38920751,2024-05-27,RSV Infection in Refugees and Asylum Seekers: A Systematic Review and Meta-Analysis.,https://pubmed.ncbi.nlm.nih.gov/38920751,2024-05,2024,5,rsv infection refugee asylum seeker systematic,neutral,0.0,0.0
60,38171847,2024-05-23,"Molecular Epidemiology of Human Metapneumovirus in East Japan before and after COVID-19, 2017-2022.",https://pubmed.ncbi.nlm.nih.gov/38171847,2024-05,2024,5,molecular epidemiology human metapneumovirus east japan,neutral,0.0,0.1
61,38296544,2024-05-23,"Genetic Comparison of Human Parainfluenza Virus Type 3 Detected in Respiratory Samples from Patients with Encephalopathy and Airway Inflammation in Aichi Prefecture, Japan.",https://pubmed.ncbi.nlm.nih.gov/38296544,2024-05,2024,5,genetic comparison human parainfluenza virus type detected respiratory sample encephalopathy airway inflammation aichi prefecture japan,neutral,0.0,0.1
62,38770587,2024-05-21,Household transmission of human metapneumovirus and seasonal coronavirus.,https://pubmed.ncbi.nlm.nih.gov/38770587,2024-05,2024,5,household transmission human metapneumovirus seasonal coronavirus,neutral,0.0,0.1
63,38769924,2024-05-20,Epidemiology of Respiratory Viruses in Korean Children Before and After the COVID-19 Pandemic: A Prospective Study From National Surveillance System.,https://pubmed.ncbi.nlm.nih.gov/38769924,2024-05,2024,5,epidemiology respiratory virus korean child pandemic prospective national surveillance system,neutral,0.0,0.0
64,38846360,2024-05-17,"Seasonal and Genetic Characteristics of Human Metapneumovirus Circulating - Henan Province, China, 2017-2023.",https://pubmed.ncbi.nlm.nih.gov/38846360,2024-05,2024,5,seasonal genetic characteristic human metapneumovirus circulating henan province china,negative,-0.03333333333333333,0.2833333333333333
65,38798421,2024-05-14,Human metapneumovirus SH protein promotes JAK1 degradation to impair host IL-6 signaling.,https://pubmed.ncbi.nlm.nih.gov/38798421,2024-05,2024,5,human metapneumovirus sh protein promotes degradation impair host signaling,neutral,0.0,0.1
66,38793631,2024-05-09,Presence and Significance of Multiple Respiratory Viral Infections in Children Admitted to a Tertiary Pediatric Hospital in Italy.,https://pubmed.ncbi.nlm.nih.gov/38793631,2024-05,2024,5,presence significance multiple respiratory viral infection child admitted tertiary pediatric hospital italy,neutral,0.0,0.0
67,38530032,2024-05-08,IFN-λ drives distinct lung immune landscape changes and antiviral responses in human metapneumovirus infection.,https://pubmed.ncbi.nlm.nih.gov/38530032,2024-05,2024,5,drive distinct lung immune landscape change antiviral response human metapneumovirus infection,positive,0.15,0.2
68,38700887,2024-05-07,"Epidemiology and molecular characterization of respiratory viruses at the end of COVID-19 pandemic in Lombardy, Northern Italy.",https://pubmed.ncbi.nlm.nih.gov/38700887,2024-05,2024,5,epidemiology molecular characterization respiratory virus end pandemic lombardy northern italy,neutral,0.0,0.0
69,38692663,2024-05-07,"Assessment of Illness Severity in Adults Hospitalized With Acute Respiratory Tract Infection due to Influenza, Respiratory Syncytial Virus, or Human Metapneumovirus.",https://pubmed.ncbi.nlm.nih.gov/38692663,2024-05,2024,5,assessment illness severity adult hospitalized acute respiratory tract infection due influenza respiratory syncytial virus human metapneumovirus,positive,0.14375,0.41875
70,38431054,2024-05-07,Interleukin-1β promotes human metapneumovirus replication via activating the cGAS-STING pathway.,https://pubmed.ncbi.nlm.nih.gov/38431054,2024-05,2024,5,promotes human metapneumovirus replication via activating pathway,neutral,0.0,0.1
71,38234188,2024-05-07,Cycle threshold dynamics of non-severe acute respiratory coronavirus virus 2 (SARS-CoV-2) respiratory viruses.,https://pubmed.ncbi.nlm.nih.gov/38234188,2024-05,2024,5,cycle threshold dynamic acute respiratory coronavirus virus respiratory virus,positive,0.3,0.5333333333333333
72,38725276,2024-05-07,"Prevalence of Respiratory Viruses in Children With Acute Respiratory Infections in Shanghai, China, From 2013 to 2022.",https://pubmed.ncbi.nlm.nih.gov/38725276,2024-05,2024,5,prevalence respiratory virus child acute respiratory infection shanghai china,positive,0.6,0.9
73,38681623,2024-04-30,Viral etiology of severe lower respiratory tract infections in SARS-CoV-2 negative hospitalized patients during the COVID-19 pandemic in Kuwait.,https://pubmed.ncbi.nlm.nih.gov/38681623,2024-04,2024,4,viral etiology severe lower respiratory tract infection negative hospitalized pandemic kuwait,negative,-0.3,0.4
74,38689312,2024-04-30,"Clinical and epidemiological characteristics of 96 pediatric human metapneumovirus infections in Henan, China after COVID-19 pandemic: a retrospective analysis.",https://pubmed.ncbi.nlm.nih.gov/38689312,2024-04,2024,4,epidemiological characteristic pediatric human metapneumovirus infection henan china pandemic retrospective,negative,-0.03333333333333333,0.2833333333333333
75,38793579,2024-04-28,"Genetic Diversity and Detection of Respiratory Viruses Excluding SARS-CoV-2 during the COVID-19 Pandemic in Gabon, 2020-2021.",https://pubmed.ncbi.nlm.nih.gov/38793579,2024-04,2024,4,genetic diversity detection respiratory virus excluding pandemic gabon,neutral,0.0,0.0
76,38466095,2024-04-16,SQSTM1 downregulates avian metapneumovirus subgroup C replication via mediating selective autophagic degradation of viral M2-2 protein.,https://pubmed.ncbi.nlm.nih.gov/38466095,2024-04,2024,4,downregulates avian metapneumovirus subgroup c replication via mediating selective autophagic degradation viral protein,neutral,0.0,0.0
77,38636684,2024-04-16,"Global analysis of respiratory viral circulation and timing of epidemics in the pre-COVID-19 and COVID-19 pandemic eras, based on data from the Global Influenza Surveillance and Response System (GISRS).",https://pubmed.ncbi.nlm.nih.gov/38636684,2024-04,2024,4,global respiratory viral circulation timing epidemic pandemic era data global influenza surveillance response system gisrs,neutral,0.0,0.0
78,38589437,2024-04-08,Ginkgolic acid inhibits orthopneumo- and metapneumo- virus infectivity.,https://pubmed.ncbi.nlm.nih.gov/38589437,2024-04,2024,4,ginkgolic acid inhibits virus infectivity,neutral,0.0,0.0
79,38359857,2024-04-07,Non-SARS-CoV-2 respiratory viral detection and whole genome sequencing from COVID-19 rapid antigen test devices: a laboratory evaluation study.,https://pubmed.ncbi.nlm.nih.gov/38359857,2024-04,2024,4,respiratory viral detection whole genome sequencing rapid antigen test device laboratory evaluation,positive,0.2,0.4
80,38616564,2024-04-07,"Predictors of Respiratory Syncytial Virus, Influenza Virus, and Human Metapneumovirus Carriage in Children Under 5 Years With WHO-Defined Fast-Breathing Pneumonia in Pakistan.",https://pubmed.ncbi.nlm.nih.gov/38616564,2024-04,2024,4,predictor respiratory syncytial virus influenza virus human metapneumovirus carriage child year pneumonia pakistan,neutral,0.0,0.1
81,38738071,2024-04-07,A Case Report of Sepsis-Induced Dilated Cardiomyopathy Secondary to Human Metapneumovirus Infection.,https://pubmed.ncbi.nlm.nih.gov/38738071,2024-04,2024,4,report dilated cardiomyopathy secondary human metapneumovirus infection,negative,-0.15,0.2
82,38100724,2024-04-01,Head-to-Head Comparison Between Respiratory Syncytial Virus and Human Metapneumovirus Bronchiolitis in the Setting of Increased Viral Testing.,https://pubmed.ncbi.nlm.nih.gov/38100724,2024-04,2024,4,comparison respiratory syncytial virus human metapneumovirus bronchiolitis setting increased viral testing,neutral,0.0,0.1
83,38241663,2024-04-01,Epidemiology and Clinical Characteristics of Human Metapneumovirus Infections in Hospitalized Children in Two Consecutive Postpandemic Years.,https://pubmed.ncbi.nlm.nih.gov/38241663,2024-04,2024,4,epidemiology characteristic human metapneumovirus infection hospitalized child two consecutive postpandemic year,negative,-0.03333333333333333,0.2833333333333333
84,38561704,2024-04-01,The impact of non-pharmaceutical interventions on community non-SARS-CoV-2 respiratory infections in preschool children.,https://pubmed.ncbi.nlm.nih.gov/38561704,2024-04,2024,4,impact intervention community respiratory infection preschool child,neutral,0.0,0.0
85,38675883,2024-03-30,"Molecular Epidemiology and Clinical Characteristics of an Outbreak on Respiratory Virus Coinfection in Gansu, China.",https://pubmed.ncbi.nlm.nih.gov/38675883,2024-03,2024,3,molecular epidemiology characteristic outbreak respiratory virus coinfection gansu china,negative,-0.06666666666666667,0.4666666666666666
86,38675851,2024-03-26,Geographical Expansion of Avian Metapneumovirus Subtype B: First Detection and Molecular Characterization of Avian Metapneumovirus Subtype B in US Poultry.,https://pubmed.ncbi.nlm.nih.gov/38675851,2024-03,2024,3,geographical expansion avian metapneumovirus subtype b first detection molecular characterization avian metapneumovirus subtype b u poultry,positive,0.25,0.3333333333333333
87,38675850,2024-03-26,Disease Burden and Inpatient Management of Children with Acute Respiratory Viral Infections during the Pre-COVID Era in Germany: A Cost-of-Illness Study.,https://pubmed.ncbi.nlm.nih.gov/38675850,2024-03,2024,3,disease burden inpatient management child acute respiratory viral infection era germany,positive,0.6,0.9
88,38674586,2024-03-23,Exploring Clinical Predictors of Severe Human Metapneumovirus Respiratory Tract Infections in Children: Insights from a Recent Outbreak.,https://pubmed.ncbi.nlm.nih.gov/38674586,2024-03,2024,3,exploring predictor severe human metapneumovirus respiratory tract infection child insight recent outbreak,neutral,0.0,0.175
89,38496645,2024-03-08,A tale of two fusion proteins: understanding the metastability of human respiratory syncytial virus and metapneumovirus and implications for rational design of uncleaved prefusion-closed trimers.,https://pubmed.ncbi.nlm.nih.gov/38496645,2024-03,2024,3,tale two fusion protein understanding metastability human respiratory syncytial virus metapneumovirus implication rational design uncleaved trimer,neutral,0.0,0.1
90,38280762,2024-03-07,Viral Pneumonias.,https://pubmed.ncbi.nlm.nih.gov/38280762,2024-03,2024,3,viral pneumonia,neutral,0.0,0.0
91,38501305,2024-03-07,Patterns of Non-influenza Respiratory Viruses Among Severe Acute Respiratory Infection Cases in Burkina Faso: A Surveillance Study.,https://pubmed.ncbi.nlm.nih.gov/38501305,2024-03,2024,3,pattern respiratory virus among severe acute respiratory infection case burkina faso surveillance,positive,0.6,0.9
92,38048027,2024-03-07,"The Impact of Non-pharmacological Interventions Measures Against COVID-19 on Respiratory Virus in Preschool Children in Henan, China.",https://pubmed.ncbi.nlm.nih.gov/38048027,2024-03,2024,3,impact intervention measure respiratory virus preschool child henan china,neutral,0.0,0.0
93,38524773,2024-03-07,The prevalence of 17 common respiratory viruses in patients with respiratory illness but negative for COVID-19: A cross-sectional study.,https://pubmed.ncbi.nlm.nih.gov/38524773,2024-03,2024,3,prevalence common respiratory virus respiratory illness negative,negative,-0.3,0.45
94,38529669,2024-03-07,Clinical comparison of HMPV and RSV infections in hospitalised Malaysian children: A propensity score matched study.,https://pubmed.ncbi.nlm.nih.gov/38529669,2024-03,2024,3,comparison hmpv rsv infection hospitalised malaysian child propensity score matched,neutral,0.0,0.0
95,38454484,2024-03-07,Epidemiology and diagnosis technologies of human metapneumovirus in China: a mini review.,https://pubmed.ncbi.nlm.nih.gov/38454484,2024-03,2024,3,epidemiology diagnosis technology human metapneumovirus china mini,neutral,0.0,0.1
96,38265200,2024-02-28,Human metapneumovirus infection of organoid-derived human bronchial epithelium represents cell tropism and cytopathology as observed in in vivo models.,https://pubmed.ncbi.nlm.nih.gov/38265200,2024-02,2024,2,human metapneumovirus infection human bronchial epithelium represents cell tropism cytopathology observed vivo model,neutral,0.0,0.1
97,38351001,2024-02-13,A general computational design strategy for stabilizing viral class I fusion proteins.,https://pubmed.ncbi.nlm.nih.gov/38351001,2024-02,2024,2,general computational design strategy stabilizing viral class fusion protein,positive,0.05000000000000002,0.5
